time,lat,lon
4300.6,52.0117,168.1493
4301.2,52.0461,168.1665
4301.8,52.0805,168.1837
4302.5,52.1149,168.201
4303.1,52.1493,168.2183
4303.7,52.1836,168.2356
4304.3,52.218,168.2529
4304.9,52.2524,168.2703
4305.5,52.2868,168.2877
4306.1,52.3211,168.3051
4306.7,52.3555,168.3226
4307.4,52.3898,168.3401
4308.0,52.4242,168.3576
4308.6,52.4586,168.3752
4309.2,52.4929,168.3928
4309.8,52.5272,168.4104
4310.4,52.5616,168.428
4311.0,52.5959,168.4457
4311.6,52.6303,168.4634
4312.3,52.6646,168.4812
4312.9,52.6989,168.4989
4313.5,52.7332,168.5167
4314.1,52.7676,168.5346
4314.7,52.8019,168.5524
4315.3,52.8362,168.5703
4315.9,52.8705,168.5883
4316.5,52.9048,168.6062
4317.2,52.9391,168.6243
4317.8,52.9734,168.6423
4318.4,53.0077,168.6603
4319.0,53.042,168.6784
4319.6,53.0763,168.6966
4320.2,53.1106,168.7147
4320.8,53.1448,168.7329
4321.5,53.1791,168.7511
4322.1,53.2134,168.7694
4322.7,53.2477,168.7877
4323.3,53.2819,168.806
4323.9,53.3162,168.8244
4324.5,53.3504,168.8428
4325.1,53.3847,168.8612
4325.7,53.4189,168.8797
4326.4,53.4532,168.8981
4327.0,53.4874,168.9167
4327.6,53.5217,168.9352
4328.2,53.5559,168.9538
4328.8,53.5901,168.9724
4329.4,53.6244,168.9911
4330.0,53.6586,169.0098
4330.6,53.6928,169.0285
4331.3,53.727,169.0473
4331.9,53.7612,169.0661
4332.5,53.7954,169.0849
4333.1,53.8296,169.1038
4333.7,53.8638,169.1227
4334.3,53.898,169.1416
4334.9,53.9322,169.1606
4335.5,53.9664,169.1796
4336.2,54.0006,169.1986
4336.8,54.0348,169.2177
4337.4,54.069,169.2368
4338.0,54.1031,169.256
4338.6,54.1373,169.2751
4339.2,54.1715,169.2944
4339.8,54.2056,169.3136
4340.4,54.2398,169.3329
4341.1,54.2739,169.3522
4341.7,54.3081,169.3716
4342.3,54.3422,169.391
4342.9,54.3764,169.4104
4343.5,54.4105,169.4299
4344.1,54.4446,169.4494
4344.7,54.4788,169.4689
4345.4,54.5129,169.4885
4346.0,54.547,169.5081
4346.6,54.5811,169.5278
4347.2,54.6152,169.5475
4347.8,54.6493,169.5672
4348.4,54.6834,169.5869
4349.0,54.7175,169.6068
4349.6,54.7516,169.6266
4350.3,54.7857,169.6465
4350.9,54.8198,169.6664
4351.5,54.8539,169.6863
4352.1,54.888,169.7063
4352.7,54.922,169.7263
4353.3,54.9561,169.7464
4353.9,54.9902,169.7665
4354.5,55.0242,169.7866
4355.2,55.0583,169.8068
4355.8,55.0923,169.827
4356.4,55.1264,169.8473
4357.0,55.1604,169.8676
4357.6,55.1945,169.8879
4358.2,55.2285,169.9083
4358.8,55.2625,169.9287
4359.4,55.2966,169.9491
4360.1,55.3306,169.9696
4360.7,55.3646,169.9901
4361.3,55.3986,170.0107
4361.9,55.4326,170.0313
4362.5,55.4666,170.052
4363.1,55.5006,170.0726
4363.7,55.5346,170.0934
4364.4,55.5686,170.1141
4365.0,55.6026,170.1349
4365.6,55.6366,170.1558
4366.2,55.6706,170.1767
4366.8,55.7045,170.1976
4367.4,55.7385,170.2186
4368.0,55.7725,170.2395
4368.6,55.8064,170.2606
4369.3,55.8404,170.2817
4369.9,55.8743,170.3028
4370.5,55.9083,170.324
4371.1,55.9422,170.3452
4371.7,55.9761,170.3664
4372.3,56.0101,170.3877
4372.9,56.044,170.4091
4373.5,56.0779,170.4305
4374.2,56.1118,170.4519
4374.8,56.1458,170.4733
4375.4,56.1797,170.4948
4107.0,41.0073,163.9076
4107.6,41.0424,163.9183
4108.2,41.0776,163.929
4108.8,41.1127,163.9397
4109.4,41.1478,163.9504
4110.0,41.1829,163.9612
4110.6,41.2181,163.9719
4111.2,41.2532,163.9827
4111.9,41.2883,163.9934
4112.5,41.3234,164.0042
4113.1,41.3585,164.015
4113.7,41.3937,164.0258
4114.3,41.4288,164.0367
4114.9,41.4639,164.0475
4115.5,41.499,164.0583
4116.1,41.5341,164.0692
4116.8,41.5692,164.0801
4117.4,41.6043,164.091
4118.0,41.6394,164.1019
4118.6,41.6745,164.1128
4119.2,41.7096,164.1238
4119.8,41.7447,164.1347
4120.4,41.7798,164.1457
4121.0,41.8149,164.1567
4121.7,41.85,164.1677
4122.3,41.8851,164.1787
4122.9,41.9202,164.1897
4123.5,41.9553,164.2008
4124.1,41.9904,164.2119
4124.7,42.0255,164.2229
4125.3,42.0606,164.234
4125.9,42.0956,164.2451
4126.6,42.1307,164.2562
4127.2,42.1658,164.2674
4127.8,42.2009,164.2785
4128.4,42.236,164.2897
4129.0,42.271,164.3009
4129.6,42.3061,164.312
4130.2,42.3412,164.3233
4130.9,42.3762,164.3345
4131.5,42.4113,164.3457
4132.1,42.4464,164.357
4132.7,42.4814,164.3682
4133.3,42.5165,164.3795
4133.9,42.5516,164.3908
4134.5,42.5866,164.4021
4135.1,42.6217,164.4135
4135.8,42.6567,164.4248
4136.4,42.6918,164.4362
4137.0,42.7268,164.4475
4137.6,42.7619,164.4589
4138.2,42.7969,164.4703
4138.8,42.832,164.4818
4139.4,42.867,164.4932
4140.0,42.9021,164.5047
4140.7,42.9371,164.5161
4141.3,42.9722,164.5276
4141.9,43.0072,164.5391
4142.5,43.0422,164.5506
4143.1,43.0773,164.5621
4143.7,43.1123,164.5737
4144.3,43.1473,164.5853
4144.9,43.1824,164.5968
